Overall Ranking,College Name,Outomes Ranking,Resources Ranking,Engagement Ranking,Environment Ranking,Average Net Price
1,Harvard University,1,1,11,150,"$17,030"
2,Massachusetts Institute of Technology,12,3,179,107,"$22,230"
3,Yale University,3,13,16,93,"$18,053"
4,University of Pennsylvania,5,9,93,135,"$24,539"
5,California Institute of Technology,8,1,>600,190,"$24,466"
5,Princeton University,1,4,401-500,118,"$16,302"
7,Brown University,15,5,16,118,"$25,651"
7,Stanford University,5,19,76,40,"$16,562"
9,Cornell University,7,14,65,166,"$31,449"
10,Duke University,3,15,65,150,"$22,011"
11,Northwestern University,13,8,49,190,"$26,099"
12,Dartmouth College,10,12,93,233,"$22,303"
12,Johns Hopkins University,8,16,225,93,"$29,066"
14,University of Chicago,10,11,401-500,100,"$34,834"
15,Columbia University,21,9,179,54,"$22,824"
16,Rice University,22,7,38,118,"$24,131"
17,Vanderbilt University,18,6,111,293,"$23,295"
18,University of Southern California,27,21,4,63,"$32,892"
19,Washington University in St Louis,23,16,49,205,"$27,777"
20,Amherst College,14,31,501-600,93,"$19,519"
21,Williams College,17,26,501-600,118,"$20,380"
22,Emory University,35,20,111,71,"$26,867"
23,Pomona College,36,24,155,35,"$18,427"
24,Wellesley College,25,26,371,107,"$20,189"
25,"University of California, Los Angeles",16,124,11,5,"$14,760"
25,Carnegie Mellon University,38,23,11,166,"$29,817"
27,University of Michigan-Ann Arbor,18,69,4,233,"$16,408"
28,Swarthmore College,44,28,49,81,"$20,444"
29,Georgetown University,28,60,134,205,"$27,420"
30,Tufts University,42,18,225,233,"$29,449"
31,New York University,45,44,49,63,"$36,256"
32,University of Notre Dame,39,31,4,401-500,"$27,453"
33,University of North Carolina at Chapel Hill,23,89,27,359,"$11,100"
34,"University of California, Berkeley",18,200,111,27,"$18,178"
35,Middlebury College,36,38,401-500,393,"$22,841"
36,"University of California, Davis",28,183,225,9,"$16,446"
37,"University of California, San Diego",32,169,332,12,"$14,616"
38,Claremont McKenna College,51,37,332,244,"$28,712"
39,Haverford College,49,28,401-500,280,"$23,582"
40,Carleton College,47,52,285,233,"$28,148"
41,Smith College,53,43,371,166,"$26,734"
42,University of Washington-Seattle,31,183,250,63,"$9,443"
43,Wesleyan University,61,34,199,190,"$24,251"
44,Boston University,64,38,65,166,"$33,728"
44,Bowdoin College,52,38,199,401-500,"$24,447"
46,Purdue University West Lafayette,48,97,4,266,"$12,117"
47,University of Illinois at Urbana-Champaign,28,294,27,71,"$16,638"
48,Colgate University,58,49,155,347,"$22,182"
49,University of Miami,70,82,76,63,"$42,204"
50,University of Virginia,26,169,285,393,"$16,594"
51,Barnard College,55,91,199,183,"$23,736"
52,Case Western Reserve University,74,31,401-500,183,"$34,973"
53,Bryn Mawr College,77,35,>600,71,"$28,450"
54,Davidson College,56,67,401-500,393,"$28,339"
55,Lehigh University,77,30,250,293,"$26,933"
56,Vassar College,79,47,332,150,"$23,763"
57,Grinnell College,72,52,>600,183,"$29,492"
58,University of Rochester,88,38,155,244,"$37,064"
59,Boston College,41,133,401-500,371,"$27,299"
59,Hamilton College,64,52,401-500,359,"$22,139"
61,Mount Holyoke College,80,63,332,118,"$29,784"
61,University of Texas at Austin,49,251,16,144,"$14,356"
63,Bates College,58,74,401-500,401-500,"$23,312"
63,University of Florida,34,343,49,215,"$15,283"
65,Scripps College,73,84,250,166,"$36,831"
66,University of Richmond,89,35,134,371,"$24,575"
67,University of Wisconsin-Madison,40,275,16,401-500,"$15,910"
68,Georgia Institute of Technology,33,393,401-500,166,"$15,873"
